מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B01,1,WCINJ033,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ034,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ035,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ036,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ037,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ038,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ039,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ044,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ045,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ066,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ077,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ0U1,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ100,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ106,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ107,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ111,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ120,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ133,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ137,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ142,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ143,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ144,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ145,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ153,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ155,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ157,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ158,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ159,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ160,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ161,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ169,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ170,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBA,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBB,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBC,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBD,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBE,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBF,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJBH,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJDC,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJDD,, 22.93 , -   ,,,הזרקה,,,
100,B01,5,WC403,, -   , 2.17 ,,,הזרקה,,,
100,B01,5,WC404,, -   , 2.17 ,,,הזרקה,,,
100,B01,5,WC405,, -   , 2.17 ,,,הזרקה,,,
100,B01,5,WC406,, -   , 2.17 ,,,הזרקה,,,
100,B01,5,WC407,, -   , 2.17 ,,,הזרקה,,,
100,B01,5,WCINJ001,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ002,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ003,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ004,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ005,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ006,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ007,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ008,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ009,, -   , 7.10 ,,,הזרקה,,,
